Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Number.of.Passengers,Destroyed,UniqueID
20220813105730,Accident,CEN22FA383,2022-08-13,"Hanna City, IL",United States,,,Fatal,Substantial,N30EV,MOONEY AIRCRAFT CORP.,M20K,No,1,,Personal,2.0,0.0,0.0,0.0,Vmc,,,25-08-2022,2.0,False,MOONEY AIRCRAFT CORP. M20K
20220814105732,Accident,WPR22FA303,2022-08-13,"Page, AZ",United States,,,Fatal,Unknown,N9582M,CESSNA,T207A,No,1,,Other Work Use,2.0,3.0,2.0,0.0,Vmc,,,01-09-2022,7.0,False,CESSNA T207A
20220824105788,Accident,CEN22LA390,2022-08-13,"Pueblo, CO",United States,KPUB,Pueblo Memorial,Non-Fatal,Substantial,N3727X,AERO COMMANDER,100-180,No,1,Reciprocating,Personal,0.0,0.0,0.0,2.0,Vmc,,"The flight instructor’s failure to maintain adequate airspeed during the demonstrated soft-field takeoff, which led to the airplane exceeding its critical angle-of-attack and experiencing an aerodynamic stall. ",23-09-2022,2.0,False,AERO COMMANDER 100-180
20220816105744,Accident,ERA22LA373,2022-08-14,"Gardiner, NY",United States,5NY5,,Non-Fatal,Substantial,N33125,PIPER,PA-32-300,No,1,,Personal,0.0,0.0,0.0,4.0,,,,17-08-2022,4.0,False,PIPER PA-32-300
20220816105746,Accident,WPR22LA306,2022-08-14,"Moriarty, NM",United States,0E0,MORIARTY MUNI,Non-Fatal,Substantial,N320DA,CESSNA,L-19E,No,1,Reciprocating,Instructional,0.0,0.0,0.0,2.0,Vmc,,"The pilot’s failure to maintain directional control and the flight instructor's inadequate remedial action during the landing roll, which resulted in a ground loop.",23-09-2022,2.0,False,CESSNA L-19E
20220818105759,Accident,GAA22WA255,2022-08-14,"Nipigon, ",Canada,CTN7,,Fatal,Substantial,C-FYSZ,PIPER,PA28,No,,,,2.0,0.0,0.0,0.0,,,,18-08-2022,2.0,False,PIPER PA28
20220815105733,Accident,ERA22LA371,2022-08-15,"Talladega, AL",United States,ASN,TALLADEGA MUNI,Non-Fatal,Substantial,N1486T,PIPER,PA-28-140,No,1,,Personal,0.0,0.0,0.0,2.0,,,,21-08-2022,2.0,False,PIPER PA-28-140
20220815105737,Accident,WPR22FA304,2022-08-15,"Yellow Pine, ID",United States,3U2,JOHNSON CREEK,Fatal,Substantial,N26HV,AVIAT AIRCRAFT INC,A-1A,No,1,,Personal,2.0,0.0,0.0,0.0,Vmc,,,31-08-2022,2.0,False,AVIAT AIRCRAFT INC A-1A
20220815105741,Accident,WPR22LA305,2022-08-15,"Ely, NV",United States,,,Non-Fatal,Substantial,N500AR,HUGHES HELICOPTERS INC,369E,No,1,Turbo Shaft,Other Work Use,0.0,0.0,0.0,1.0,Vmc,,The pilot’s failure to maintain clearance from terrain while maneuvering at a low altitude.,08-12-2022,1.0,False,HUGHES HELICOPTERS INC 369E
20220818105760,Accident,CEN22LA388,2022-08-15,"Lucedale, MS",United States,22MS,Sky Landings Airport,Non-Fatal,Substantial,N5341W,PIPER,PA-28,No,1,,Personal,0.0,0.0,0.0,2.0,Vmc,,,25-08-2022,2.0,False,PIPER PA-28
20220816105748,Accident,ERA22LA374,2022-08-16,"Westfield, MA",United States,BAF,WESTFIELD-BARNES RGNL,Non-Fatal,Substantial,N33EV,VANS AIRCRAFT INC,RV-12,No,1,,Personal,0.0,0.0,0.0,1.0,Vmc,,,06-09-2022,1.0,False,VANS AIRCRAFT INC RV-12
20220818105758,Accident,CEN22LA387,2022-08-16,"Millville, MN",United States,,,Non-Fatal,Substantial,N641RZ,ROBINSON HELICOPTER CO,R66,No,1,Turbo Shaft,Aerial Application,0.0,0.0,0.0,1.0,Vmc,,"The pilot’s inadequate inflight planning resulted in impact with a power line.",06-10-2022,1.0,False,ROBINSON HELICOPTER CO R66
20220817105754,Accident,GAA22WA252,2022-08-17,"Augsburg, ",Georgia,EDMA,,Non-Fatal,Substantial,F-BRHA,MOONEY,M20E,No,,,Personal,0.0,0.0,0.0,1.0,,,,24-08-2022,1.0,False,MOONEY M20E
20220818105761,Accident,WPR22LA308,2022-08-18,"El Cajon, CA",United States,SEE,GILLESPIE FLD,Serious,Substantial,N1097D,CESSNA,195,No,1,,Personal,0.0,0.0,1.0,0.0,Vmc,,,23-09-2022,1.0,False,CESSNA 195
20220818105763,Accident,WPR22FA309,2022-08-18,"Watsonville, CA",United States,WVI,WATSONVILLE MUNI,Fatal,Substantial,N49931,CESSNA,152,No,1,,Personal,3.0,0.0,0.0,0.0,,,,15-09-2022,3.0,False,CESSNA 152
20220818105763,Accident,WPR22FA309,2022-08-18,"Watsonville, CA",United States,WVI,WATSONVILLE MUNI,Fatal,Destroyed,N740WJ,CESSNA,340A,No,2,,Personal,3.0,0.0,0.0,0.0,,,,15-09-2022,3.0,True,CESSNA 340A
20220824105789,Accident,CEN22LA391,2022-08-18,"Baton Rouge, LA",United States,BTR,Baton Rouge Metropolitan Airpo,Non-Fatal,Substantial,N17747,BEECH,F33A,No,1,,Personal,0.0,0.0,0.0,2.0,Vmc,,,30-08-2022,2.0,False,BEECH F33A
20220829105815,Accident,CEN22LA399,2022-08-18,"Sullivan, IN",United States,SIV,SULLIVAN COUNTY,Non-Fatal,Substantial,N3331R,PIPER,PA-28-180,No,1,Reciprocating,Personal,0.0,0.0,0.0,1.0,Vmc,,The pilot’s failure to maintain directional control during landing.,03-11-2022,1.0,False,PIPER PA-28-180
